,precision,recall,f1-score,support
1.0,0.3558590941768512,0.5789473684210527,0.44078361531611754,1710.0
2.0,0.7100093545369505,0.5507982583454282,0.6203514507560278,1378.0
3.0,0.5011025358324146,0.5492447129909366,0.5240703372729894,1655.0
4.0,0.7182468694096601,0.5814627081824765,0.64265706282513,1381.0
5.0,0.7349397590361446,0.6288659793814433,0.6777777777777778,1455.0
6.0,0.6022727272727273,0.45633456334563344,0.5192442267319805,1626.0
7.0,0.384909264565425,0.4696969696969697,0.4230971128608924,1716.0
8.0,0.756513926325247,0.5506867233485938,0.6373959121877366,1529.0
9.0,0.6880415944540728,0.6403225806451613,0.6633249791144528,1240.0
10.0,0.5957842529448233,0.6224093264248705,0.6088058283180234,1544.0
accuracy,0.5593409478797426,0.5593409478797426,0.5593409478797426,0.5593409478797426
macro avg,0.6047679378554317,0.5628769190782565,0.5757508303161128,15234.0
weighted avg,0.5938719262183402,0.5593409478797426,0.5682696626652769,15234.0
