,precision,recall,f1-score,support
1.0,0.4323873121869783,0.6058479532163743,0.5046273745737945,1710.0
2.0,0.7169179229480737,0.6211901306240929,0.6656298600311042,1378.0
3.0,0.6189305470190535,0.6084592145015105,0.6136502132845826,1655.0
4.0,0.7554438860971524,0.6531498913830558,0.7005825242718446,1381.0
5.0,0.601589103291714,0.7285223367697594,0.6589990674541498,1455.0
6.0,0.6170678336980306,0.5202952029520295,0.5645645645645646,1626.0
7.0,0.5100235849056604,0.504079254079254,0.5070339976553341,1716.0
8.0,0.7037037037037037,0.6337475474166122,0.6668960770818995,1529.0
9.0,0.71658615136876,0.717741935483871,0.717163577759871,1240.0
10.0,0.7338181818181818,0.6534974093264249,0.6913326481671805,1544.0
accuracy,0.6196665353813837,0.6196665353813837,0.6196665353813837,0.6196665353813837
macro avg,0.6406468227037309,0.6246530875752985,0.6290479904844325,15234.0
weighted avg,0.6332088251048269,0.6196665353813837,0.6227206799792809,15234.0
