,precision,recall,f1-score,support
1.0,0.8506920807805763,0.9280851590543384,0.8877049665541941,8079.0
2.0,0.773380418899172,0.8596372495939361,0.8142307692307692,7388.0
3.0,0.8573007103393844,0.7871014492753623,0.8207026822818285,6900.0
4.0,0.8008468168758506,0.796031865323914,0.7984320820141716,6653.0
5.0,0.8001319261213721,0.7213797204876599,0.7587177482408132,6726.0
6.0,0.8742138364779874,0.7747779132555304,0.8214978299011912,5741.0
7.0,0.7912885662431942,0.8663686040735221,0.8271282902537349,8052.0
8.0,0.8365797292835919,0.7880578448141813,0.8115942028985508,6431.0
9.0,0.8192334494773519,0.8496675339693553,0.834172993684808,6918.0
10.0,0.8453821186190617,0.8110403397027601,0.8278552336921188,7065.0
accuracy,0.8223807413549097,0.8223807413549097,0.8223807413549097,0.8223807413549097
macro avg,0.8249049653117542,0.8182147679550559,0.820203679875218,69953.0
weighted avg,0.8237247158195301,0.8223807413549097,0.8217014627205921,69953.0
