,precision,recall,f1-score,support
1.0,0.8453001132502831,0.9238767174155217,0.8828434561476137,8079.0
2.0,0.7675793028585213,0.8613968597726043,0.8117864659735953,7388.0
3.0,0.8708989501312336,0.7694202898550725,0.817020621729763,6900.0
4.0,0.8035001535155051,0.7867127611603788,0.7950178476494266,6653.0
5.0,0.7981392257850142,0.7142432352066607,0.7538642604943115,6726.0
6.0,0.8863589743589744,0.7526563316495384,0.8140542577241899,5741.0
7.0,0.748499842088641,0.88301043219076,0.8102102444305168,8052.0
8.0,0.8402366863905325,0.7728191572072772,0.8051190669042605,6431.0
9.0,0.8178621659634318,0.8405608557386528,0.8290561733675507,6918.0
10.0,0.8422986478542034,0.8111818825194621,0.8264474727810224,7065.0
accuracy,0.816576844452704,0.816576844452704,0.816576844452704,0.816576844452704
macro avg,0.8220674062196341,0.8115878522715928,0.8145419867202252,69953.0
weighted avg,0.8198520343092799,0.816576844452704,0.8159255334699909,69953.0
