Feature,Importance
Ch14_RMS,0.016218493031300914
Ch14_MAV,0.015398007504284585
Ch16_RMS,0.015384343512433151
Ch9_RMS,0.01483385660155536
Ch16_MAV,0.01439983982978741
Ch14_WL,0.014183809555777346
Ch16_WL,0.013961982077200029
Ch9_MAV,0.01391646363917437
Ch9_WL,0.012951763385045995
Ch14_Spec,0.012205474912695384
Ch2_RMS,0.012027090657385229
Ch14_MDWT_L3,0.011605040752728548
Ch2_WL,0.011583846041103933
Ch2_MAV,0.010929652904317352
Ch14_MDWT_L4,0.010672531648365758
Ch10_RMS,0.0104472851807484
Ch16_MDWT_L3,0.010424794207704643
Ch9_MDWT_L3,0.010345499894926261
Ch10_MAV,0.01001617447501239
Ch5_MAV,0.009984520765244103
Ch16_MDWT_L4,0.009608592798364039
Ch5_WL,0.009544157925351985
Ch10_WL,0.009342228854842231
Ch5_RMS,0.009297922798317908
Ch13_RMS,0.00927422373099039
Ch15_RMS,0.009040765579647546
Ch3_MAV,0.009008874729148771
Ch3_RMS,0.008929164430745236
Ch13_MAV,0.008868396961937766
Ch2_MDWT_L3,0.008819119631048776
Ch15_MAV,0.008816108058398497
Ch16_Spec,0.008806834106091944
Ch6_RMS,0.00878659537409732
Ch13_WL,0.008745800847848347
Ch9_Spec,0.008727884481524886
Ch4_RMS,0.008577951604735724
Ch9_MDWT_L4,0.00838860751658273
Ch15_WL,0.008340052450454313
Ch3_WL,0.00830879955915683
Ch7_RMS,0.008250340690918984
Ch7_MAV,0.008220087251356112
Ch6_WL,0.00821883921855777
Ch7_WL,0.008108829440643688
Ch6_MAV,0.008044626169281095
Ch2_MDWT_L4,0.007880160488656597
Ch4_WL,0.007777943467865403
Ch12_RMS,0.007473220313309264
Ch12_MAV,0.007467282916127364
Ch1_RMS,0.00746551761785132
Ch10_MDWT_L3,0.007363997813273203
Ch4_MAV,0.007354930130586271
Ch5_MDWT_L3,0.0073515435488951016
Ch1_MAV,0.007099024814260608
Ch3_MDWT_L3,0.007082052351231688
Ch6_MDWT_L3,0.007036665127189293
Ch15_MDWT_L3,0.006969140829455076
Ch1_WL,0.006923862705987179
Ch5_MDWT_L4,0.00690223954292141
Ch12_WL,0.00687531574121733
Ch2_Spec,0.0068587383168180706
Ch8_RMS,0.006853217989627464
Ch8_MAV,0.006796845286919188
Ch13_MDWT_L3,0.006695023046896738
Ch14_MDWT_L2,0.0066439485490080545
Ch13_MDWT_L4,0.006605584833354642
Ch11_RMS,0.006549472191679472
Ch10_Spec,0.006530863074648775
Ch8_WL,0.006466508903321801
Ch7_MDWT_L4,0.00638285284269239
Ch10_MDWT_L4,0.006379810035371373
Ch7_MDWT_L3,0.006375325819959914
Ch5_Spec,0.006281665688708826
Ch11_MAV,0.006259430690167045
Ch15_MDWT_L4,0.006026535367407742
Ch13_Spec,0.006023197346000673
Ch11_WL,0.005974616689337276
Ch4_MDWT_L3,0.005963426870720047
Ch6_MDWT_L4,0.005910833784777225
Ch15_Spec,0.005859322665158077
Ch1_MDWT_L3,0.005736428452220277
Ch12_MDWT_L3,0.005724908643337196
Ch7_Spec,0.005681115841631531
Ch16_MDWT_L2,0.005379074811017062
Ch3_Spec,0.0053663337722290394
Ch3_MDWT_L4,0.005325563221336763
Ch8_MDWT_L3,0.005312761937234536
Ch6_Spec,0.005251682457494751
Ch12_MDWT_L4,0.00523075905107463
Ch11_MDWT_L3,0.005142518757375098
Ch12_Spec,0.004862816551952213
Ch1_Spec,0.004841158305611858
Ch4_MDWT_L4,0.004777248214352495
Ch9_MDWT_L2,0.0047525749237595834
Ch2_MDWT_L2,0.004740406361857795
Ch8_MDWT_L4,0.004721189130322969
Ch4_Spec,0.004669858626920734
Ch11_MDWT_L4,0.004630818446340167
Ch14_MDWT_L1,0.004603380665708163
Ch8_Spec,0.004520703901776683
Ch1_MDWT_L4,0.004488922001431259
Ch11_Spec,0.004442521909550797
Ch5_MDWT_L2,0.004275266345969874
Ch16_MDWT_L1,0.004272637684437964
Ch7_MDWT_L2,0.003858722620031828
Ch13_MDWT_L2,0.0037710162922341504
Ch10_MDWT_L2,0.0037534659355307133
Ch6_MDWT_L2,0.0037168522552231565
Ch15_MDWT_L2,0.003537271021830773
Ch9_MDWT_L1,0.00339982730201321
Ch2_MDWT_L1,0.0033285116987682834
Ch12_MDWT_L2,0.0031975843873551903
Ch5_MDWT_L1,0.0031710591537615672
Ch8_MDWT_L2,0.0031652778447262657
Ch3_MDWT_L2,0.0031593197350501764
Ch10_MDWT_L1,0.0031021901757797036
Ch1_MDWT_L2,0.0029577099129816987
Ch13_MDWT_L1,0.0029445647621683967
Ch7_MDWT_L1,0.002931560798866314
Ch6_MDWT_L1,0.00291243173514272
Ch3_MDWT_L1,0.0028762551306580524
Ch4_MDWT_L2,0.002861855045391959
Ch11_MDWT_L2,0.0028489325224929276
Ch15_MDWT_L1,0.0028178135999906992
Ch8_MDWT_L1,0.002734345997688654
Ch12_MDWT_L1,0.00260123324326623
Ch1_MDWT_L1,0.002554870385170086
Ch5_MeanFreq,0.0025222333795673333
